
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
.	.	.	.	.	.	. pemstat_sinchd_1, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinchd_2, 13, 16, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinchd_3, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinchd_4, 13, 16, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sincnf, 13, 16, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sincnf_0, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sincnf_1, 13, 16, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sincnf_2, 13, 18, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sincnf_3, 13, 16, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sincnf_4, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	. si_sal, 3, 135, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sib_sync_pulse, 8, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. sib_sync_2flp_1s_0s, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. sib_sync_2flp_1s_0s_1, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. sib_sync_pulse_0, 8, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. sib_sync_2flp_1s_0s_0, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. sib_sync_2flp_1s_0s_1_0, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. tx2048x40_11s_1s_1s_4s, 0, 0, 0, 0, 0, 5, 0, 0, 0
.	. CoreTSE_Webserver_FCCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 1
.	. CoreTSE_Webserver_FCCC_1_FCCC, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	. CoreTSE_Webserver_FCCC_2_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. CoreTSE_Webserver_FCCC_3_FCCC, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	. CoreTSE_Webserver_MSS, 0, 1, 0, 0, 0, 0, 0, 2, 10
.	. CoreTSE_Webserver_OSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. CoreTSE_Webserver_SERDES_IF2_0_SERDES_IF2, 0, 0, 0, 0, 0, 0, 0, 0, 1
